Timestamp,Language / Выберите язык,"1. How often do you use AI-powered applications (e.g. ChatGPT, Midjourney, Google Gemini, etc.)?",2. Which of the following AI tools have you used or are familiar with?,3. In which areas do you use AI applications?,4. What specific tasks do you most often use AI for?,5. How much do you trust the results provided by AI tools?,6. What concerns or risks do you associate with AI usage?,7. You would be more likely to use AI tools if…,8. Please select your age group,"1. Как часто вы используете приложения на основе Искусственного Интеллекта (например, ChatGPT, Midjourney, Google Gemini и т.д.)?", 2. С какими ИИ-сервисами вы знакомы или когда-либо использовали?,3. В каких сферах вы используете ИИ-приложения?,4. Для каких конкретных задач вы чаще всего используете ИИ?,"5. Насколько вы доверяете результатам, полученным от ИИ-приложений?",6. Какие риски или опасения у вас вызывает использование ИИ?,"7. Вы бы хотели использовать ИИ чаще, если бы…",8. Выберите Вашу возрастную категорию
22/05/2025 14:05:38,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Deepseek, Midjourney (генерация изображений), Grammarly / DeepL Write / другие ИИ для текстов, Suno (генерация музыки), test","Учёба, Творчество (тексты, музыка, изображения), Поиск информации","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Генерация изображений / видео, Краткие резюме текстов, Программирование / генерация кода",9,Неправильная / недостоверная информация,Были бесплатные или более дешёвые версии,31 - 40
22/05/2025 14:05:40,English,Daily,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Deepseek, Midjourney (image generation), Grammarly / DeepL Write / other writing assistants, Suno (misic generation), test","Education / Studies, Creative tasks (writing, music, images), Information search","Text generation (articles, emails, social media posts), Translation and grammar checking, Image / video generation, Text summarization, Programming / code generation",9,Inaccurate or misleading information,There were free or more affordable versions,31 - 40,,,,,,,,
22/05/2025 14:26:02,English,Several times a week,"ChatGPT (OpenAI), Gemini (Google), DALL·E","Education / Studies, Creative tasks (writing, music, images), Programming / Data Analysis, Information search","Text generation (articles, emails, social media posts), Idea generation or inspiration, Programming / code generation",5,"Inaccurate or misleading information, Overdependence on technology",There were free or more affordable versions,41 - 50,,,,,,,,
22/05/2025 14:27:47,English,Daily,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Deepseek, Midjourney (image generation), Grammarly / DeepL Write / other writing assistants, Leonardo.Ai, Perplexity, Samsung AI","Work, Education / Studies, Creative tasks (writing, music, images), Communication / Entertainment, Programming / Data Analysis, Information search, Personal growth / Learning","Text generation (articles, emails, social media posts), Translation and grammar checking, Text summarization, Idea generation or inspiration, Programming / code generation",5,"Inaccurate or misleading information, Privacy violations, Overdependence on technology, Job displacement, Ethical or moral concerns",There were free or more affordable versions,31 - 40,,,,,,,,
22/05/2025 14:31:40,English,Daily,"ChatGPT (OpenAI), Gemini (Google), Deepseek, Midjourney (image generation), DALL·E, Grammarly / DeepL Write / other writing assistants, Suno (misic generation), Claude","Work, Education / Studies, Creative tasks (writing, music, images), Communication / Entertainment, Programming / Data Analysis, Information search, Personal growth / Learning","Text generation (articles, emails, social media posts), Translation and grammar checking, Text summarization, Idea generation or inspiration, Programming / code generation",8,"Inaccurate or misleading information, Privacy violations, Overdependence on technology, Job displacement, Ethical or moral concerns","There were free or more affordable versions, ",41 - 50,,,,,,,,
22/05/2025 14:47:59,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Deepseek, Midjourney (генерация изображений), Grammarly / DeepL Write / другие ИИ для текстов","Работа, Учёба, Программирование / анализ данных, Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Краткие резюме текстов, Поиск идей или вдохновения, Программирование / генерация кода",8,Неправильная / недостоверная информация,Было больше информации / обучения,41 - 50
22/05/2025 14:59:26,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google)","Учёба, Поиск информации","Переводы и проверка грамматики, Краткие резюме текстов",7,"Неправильная / недостоверная информация, Зависимость от технологий, Потеря рабочих мест",Результаты работы ИИ были бы неотличимы от работы выполненной человеком,31 - 40
22/05/2025 15:00:00,Русский,,,,,,,,,Никогда,"ChatGPT (OpenAI), Midjourney (генерация изображений)",Общение / развлечения,Я не использую ИИ для таких задач,4,"Неправильная / недостоверная информация, Нарушение конфиденциальности",Были бесплатные или более дешёвые версии,31 - 40
22/05/2025 15:14:53,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Midjourney (генерация изображений), DALL·E, Grammarly / DeepL Write / другие ИИ для текстов, Suno (генерация музыки)","Работа, Учёба, Творчество (тексты, музыка, изображения), Программирование / анализ данных, Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Генерация изображений / видео, Программирование / генерация кода, Чат / поддержка / имитация общения",6,"Неправильная / недостоверная информация, Потеря рабочих мест","Были бесплатные или более дешёвые версии, Результаты работы ИИ были бы неотличимы от работы выполненной человеком",31 - 40
22/05/2025 15:17:09,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Deepseek","Учёба, Общение / развлечения, Поиск информации","Переводы и проверка грамматики, Поиск идей или вдохновения",6,"Неправильная / недостоверная информация, Нет особых опасений","Было больше информации / обучения, Были бесплатные или более дешёвые версии",41 - 50
